Date,S&P500,NASDAQ,SPY,QQQ,XLK,XLF,XLE,VIX
2021-01-04,301.6854248046875,348.2994079589844,32.47328186035156,27.043437957763672,123.76899719238281,3700.64990234375,12698.4501953125,26.969999313354492
2021-01-05,304.1726379394531,350.6982727050781,33.927574157714844,27.16432762145996,124.57218170166016,3726.860107421875,12818.9599609375,25.34000015258789
2021-01-06,299.9590759277344,352.7949523925781,34.962669372558594,28.363988876342773,122.42389678955078,3748.139892578125,12740.7900390625,25.06999969482422
2021-01-07,307.2157287597656,358.0365905761719,35.47595977783203,28.773176193237305,125.72376251220703,3803.7900390625,13067.48046875,22.3700008392334
2021-01-08,311.16583251953125,360.0765686035156,35.43317794799805,28.75457763671875,126.53662109375,3824.679931640625,13201.98046875,21.559999465942383
2021-01-11,306.66949462890625,357.6493835449219,35.989227294921875,28.847572326660156,125.49149322509766,3799.610107421875,13036.4296875,24.079999923706055
2021-01-12,306.18182373046875,357.72491455078125,37.246761322021484,29.145158767700195,124.89151763916016,3801.18994140625,13072.4296875,23.329999923706055
2021-01-13,308.24957275390625,358.688232421875,36.955909729003906,29.126558303833008,125.68504333496094,3809.840087890625,13128.9501953125,22.209999084472656
2021-01-14,306.6012268066406,357.4320983886719,38.0508918762207,29.256759643554688,124.58187103271484,3795.5400390625,13112.6396484375,23.25
2021-01-15,304.1726379394531,354.82550048828125,36.57093811035156,28.773176193237305,123.30448913574219,3768.25,12998.5,24.34000015258789
2021-01-19,308.6103820800781,357.6115417480469,37.306644439697266,28.847572326660156,124.9108657836914,3798.909912109375,13197.1796875,23.239999771118164
2021-01-20,315.7889099121094,362.5604553222656,37.44351577758789,28.72667121887207,127.3882064819336,3851.85009765625,13457.25,21.579999923706055
2021-01-21,318.3150939941406,362.8909912109375,36.17742919921875,28.419782638549805,129.0332794189453,3853.070068359375,13530.91015625,21.31999969482422
2021-01-22,317.3983154296875,361.60650634765625,35.989227294921875,28.21519660949707,128.539794921875,3841.469970703125,13543.0595703125,21.90999984741211
2021-01-25,320.0220031738281,363.03265380859375,35.62138366699219,28.010601043701172,129.61392211914062,3855.360107421875,13635.990234375,23.190000534057617
2021-01-26,320.4902038574219,362.4659423828125,34.860023498535156,27.78740882873535,129.70101928710938,3849.6201171875,13626.0595703125,23.020000457763672
2021-01-27,311.5559387207031,353.607177734375,34.3895263671875,26.969038009643555,127.2527084350586,3750.77001953125,13270.599609375,37.209999084472656
2021-01-28,313.39935302734375,356.6482238769531,34.791595458984375,27.471223831176758,127.7752685546875,3787.3798828125,13337.16015625,30.209999084472656
2021-01-29,306.80596923828125,349.5083312988281,33.63671875,26.922542572021484,124.76571655273438,3714.239990234375,13070.6904296875,33.09000015258789
2021-02-01,314.4722595214844,355.3260498046875,33.876243591308594,27.275928497314453,127.89141082763672,3773.860107421875,13403.3896484375,30.239999771118164
2021-02-02,319.6026306152344,360.35040283203125,34.24409484863281,27.936203002929688,129.6236114501953,3826.31005859375,13612.7802734375,25.559999465942383
2021-02-03,318.3346862792969,360.6337890625,35.70692825317383,28.09429931640625,129.17845153808594,3830.169921875,13610.5400390625,22.90999984741211
2021-02-04,322.0994873046875,364.732666015625,36.10044479370117,28.717370986938477,131.23963928222656,3871.739990234375,13777.740234375,21.770000457763672
