date,S&P500,NASDAQ,SPY,QQQ,Tech_ETF,Financials_ETF,Energy_ETF,VIX,sentiment_score,yield,binary
2021/1/1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3584,#N/A,0
2021/1/2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.19053181818181816,#N/A,0
2021/1/3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.08501363636363636,#N/A,0
2021/1/4,-1.412007645,-1.361407595,0.15832037332357274,-1.356850838,-1.630526035,-1.475482752,-1.472889122,18.549447531228537,0.4269714285714286,0.9169999957084656,0
2021/1/5,0.824419128903009,0.6887363834899851,4.478379189251602,0.447034460296325,0.6489322028151889,0.7082595157549276,0.9490116019786887,-6.04374936,0.16907076923076925,0.9549999833106995,0
2021/1/6,-1.385233818,0.5978585726492014,3.0509310417872637,4.416303911576036,-1.72453032,0.5709842747752214,-0.609799251,-1.065510877,0.33256500000000006,1.0420000553131104,0
2021/1/7,2.4192043632258464,1.48573771548266,1.4680988144901486,1.4426296621340873,2.6954301864648977,1.4847403800101189,2.5641300789502663,-10.76984,0.15992543859649122,1.0709999799728394,1
2021/1/8,1.2857953580879267,0.5697766017492834,-0.120583109,-0.064638524,0.6465555691891778,0.5491862685268911,1.0292726308001487,-3.620926879,0.11251525423728813,1.1050000190734863,0
2021/1/9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05902142857142856,#N/A,0
2021/1/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1811526315789474,#N/A,0
2021/1/11,-1.444997304,-0.674074703,1.5693006779496033,0.3234082973371688,-0.825942951,-0.65547509,-1.253984443,11.688314101048247,0.25991153846153847,1.1319999694824219,0
2021/1/12,-0.159021653,0.021110196677232018,3.4941737448700882,1.0315954922219817,-0.478082364,0.04157884466327033,0.2761492284541589,-3.11461795,0.196278125,1.1380000114440918,0
2021/1/13,0.6753137606566151,0.26930721044291506,-0.780898022,-0.063820072,0.635353526961624,0.22756417379066196,0.4323642135673156,-4.800689425,0.18577428571428567,1.0880000591278076,0
2021/1/14,-0.534724257,-0.350202157,2.9629528700522156,0.4469930567065461,-0.877733661,-0.375345119,-0.124233443,4.682579731641789,0.16090317460317458,1.128999948501587,0
2021/1/15,-0.79213004,-0.729265281,-3.889366536,-1.652881948,-1.025316987,-0.719002798,-0.87045516,4.688172699302751,0.00016969696969697625,1.097000002861023,0
2021/1/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.14563456790123458,#N/A,0
2021/1/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.19215,#N/A,0
2021/1/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.26019375,#N/A,0
2021/1/19,1.4589762384864091,0.7851777108335289,2.0116920512514236,0.258560726571222,1.3027844478401107,0.8136379515524483,1.5284816517290523,-4.519311317,-0.009307143,1.0920000076293945,0
2021/1/20,2.326101127470981,1.3838883638752408,0.3668717067668581,-0.419083396,1.9832435486697442,1.3935625421946263,1.97065068945248,-7.142856557,#N/A,1.090000033378601,0
2021/1/21,0.7999403156544238,0.09115027539940979,-3.381293762,-1.068305189,1.291439720036336,0.03167233075522802,0.5473641067082813,-1.204820342,0.13629705882352944,1.1089999675750732,0
2021/1/22,-0.287990621,-0.353942114,-0.520219012,-0.719905311,-0.382494624,-0.301061166,0.08979007267215788,2.767355351938039,-0.064848837,1.090999960899353,0
2021/1/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04332272727272727,#N/A,0
2021/1/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.162484,#N/A,0
2021/1/25,0.8266230047010215,0.39440053026713606,-1.022114691,-0.725105248,0.8356498345260199,0.36158389430824833,0.6861866299858299,5.842084416064908,0.3019529411764706,1.0399999618530273,0
2021/1/26,0.1462740316533262,-0.156087982,-2.137379026,-0.796813319,0.0671973863183295,-0.148883375,-0.072826864,-0.733074913,0.1685218181818182,1.0399999618530273,0
2021/1/27,-2.787678442,-2.444059826,-1.349664518,-2.945113623,-1.887645607,-2.56778837,-2.608677579,61.642043199539984,0.13923846153846156,1.0140000581741333,0
2021/1/28,0.5916996896091486,0.8600328695980819,1.1691281915667817,1.8620826810256341,0.4106414975380446,0.9760625975629766,0.5015639747580014,-18.81214774,0.25764117647058826,1.0570000410079956,0
2021/1/29,-2.103827938,-2.001967886,-3.319403031,-1.997301364,-2.355335737,-1.931147517,-1.997949514,9.533270954634009,0.2574666666666667,1.093000054359436,0
2021/1/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.22482839506172841,#N/A,0
2021/1/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.16256,#N/A,0
2021/2/1,2.498732023404182,1.6645524613959628,0.7121048640784888,1.3125952610121727,2.5052260110271396,1.6051767614439383,2.545383662322376,-8.612875093,0.185270313,1.0770000219345093,0
2021/2/2,1.63140305806313,1.414037778215227,1.085856768793203,2.4207505209105085,1.3544368179838173,1.3898223484416938,1.5622214267598356,-15.4761916,0.293258024691358,1.1050000190734863,0
2021/2/3,-0.396744423,0.07859948771866687,4.271817319198368,0.5658916914545342,-0.343436791,0.10087690809532646,-0.016456847,-10.36776085,0.2830594594594595,1.13100004196167,0
2021/2/4,1.1827129549110804,1.136584615400249,1.1020625493170177,2.2177937707742013,1.5956246741315017,1.0853322230420792,1.2284611399153267,-4.975990385,0.2121289156626506,1.1390000581741333,0
2021/2/5,0.3391236279150611,0.39359718677705047,0.8530973956294208,0.03240531308985606,-0.221208868,0.3897495164625342,0.5701919834175451,-4.134127697,0.20260121951219515,1.1699999570846558,0
2021/2/6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04674999999999999,#N/A,0
2021/2/7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1400392156862745,#N/A,0
2021/2/8,0.6699589088218216,0.7221759205240597,4.182330551343605,1.2949095454952264,1.049383615157251,0.7399348360373592,0.9478709727799739,1.7728745424351322,0.2056112903225806,1.159999966621399,0
2021/2/9,-0.020954289,-0.066568746,-1.060007523,0.03196758485584095,-0.117032474,-0.111352499,0.14341624018918697,1.836155338281853,0.143892188,1.156999945640564,0
2021/2/10,-0.227890468,-0.04357796,1.914755399435597,0,-0.14640139,-0.034518493,-0.251075633,1.6643579487721327,0.12082173913043479,1.1330000162124634,0
2021/2/11,0.5499410095764157,0.1615232941374778,-1.54330675,-0.319475399,1.099868865302156,0.16624551635393559,0.3810280369455299,-3.365164979,0.16788837209302326,1.1579999923706055,0
2021/2/12,0.5589220576471376,0.4939774759701976,1.476601441197034,1.0256306763235745,0.5149097389816504,0.47110331133788375,0.4969438229909917,-6.023532643,0.15862168674698796,1.2000000476837158,0
2021/2/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.08856734693877549,#N/A,0
2021/2/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2488285714285714,#N/A,0
2021/2/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.16909062500000002,#N/A,0
2021/2/16,-0.270463327,-0.086608937,2.5072922968189415,1.7132040388276426,-0.324691135,-0.056927242,-0.34032017,7.461190898097625,0.16964461538461534,1.2990000247955322,0
2021/2/17,-0.479842028,0.022964179750872837,1.4850438025254986,0.4990560413513423,-0.883156191,-0.032040201,-0.583803279,0.18639756399749796,0.21462957746478872,1.3009999990463257,0
